변경	0.38
변동	0.54
변명	0.38
변신	0.47
변호사	0.49
변화	0.42
별도	0.43
별명	0.42
별일	0.52
병실	0.44
병아리	0.34
병원	0.49
보고	0.46
보고서	0.46
보관	0.39
보너스	0.56
보도	0.47
보라색	0.4
보람	1
보름	1
보리	0.35
보상	0.38
보수	0.49
보수적	0.4
보안	0.53
보자기	0.53
보장	0.55
보전	0.51
보조	0.41
보존	0.62
보통	0.45
보편적	0.44
보험	1
보호	0.45
복도	0.51
복사	0.43
복사기	0.48
복숭아	0.58
복습	0.62
볶음	0.42
볶음밥	0.49
본격적	0.36
본래	1
본부	0.49
본사	0.34
본성	0.58
본인	0.48
본질	0.47
볼링	1
볼일	0.57
볼펜	1
봉사	0.39
봉지	0.59
봉투	0.46
부근	0.49
부끄러움	0.56
부담	0.51
부대	0.42
부동산	0.44
부모	0.41
부모님	1
부문	0.58
부부	0.4
부분	0.45
부분적	0.44
부산	0.45
부상	0.38
부서	0.48
부엌	1
부위	0.58
부인	0.48
부자	0.46
부작용	0.52
부잣집	0.44
부장	0.52
부재	0.42
부정	0.52
부정적	0.49
부족	1
부채	0.42
부처	0.39
부친	0.48
부탁	0.51
부품	0.54
부피	0.45
부회장	0.42
북부	0.45
북쪽	0
북한	0.55
분노	0.49
분량	1
분리	0.29
분석	0.47
분야	0.51
분위기	0.4
분필	0.51
분홍색	0.35
불고기	0.53
불교	0.45
불꽃	0.58
불만	0.48
불법	0.37
불빛	0.49
불안	0.44
불이익	1
불편	0.55
불평	0.55
불행	0.56
브랜드	0.68
블라우스	0.56
비교	0.43
비극	0.5
비난	0.48
비누	0.44
비닐	1
비닐봉지	0.47
비둘기	0.42
비디오	0.42
비만	0.39
비명	0.43
비밀	0
비바람	1
비빔밥	0.41
비상	0.47
비서	0.49
비용	0.49
비율	1
비중	0.56
비타민	0.39
비판	0.5
비판적	0.53
비행	0.6
비행기	0.42
비행장	0.45
빌딩	1
빗물	0.45
빗방울	0.52
빗줄기	0.62
빛깔	1
빨간색	0.46
빨래	1
뿌리	0.33
사건	0.51
사계절	0.51
사고	0.59
사과	0.48
사기	0.39
사나이	0.46
사냥	1
사람	1
사랑	1
사례	1
사립	1
사망	0.55
사모님	1
사무	0.39
사무소	0.5
사무실	0.43
사무직	0.51
사물	0.57
사방	0.53
사상	0.52
사생활	0.46
사설	0.3
사슴	1
사실	0.42
사업	0.6
사업가	0.46
사업자	0.54
사용	0.64
사용자	0.41
사원	0.42
사월	0.74
사위	0.62
사이	0.44
사이사이	0.48
사자	0.47
사장	0.48
사전	0.57
사정	0.58
사진	0.36
사진기	0.5
사촌	1
사춘기	0.4
사탕	1
사투리	0.4
사표	0.53
사회	0.41
사회생활	0.52
사회자	0.45
사회적	0.38
사회주의	0.61
사회학	0.48
사흘	1
산길	0.58
산부인과	0.45
산소	0.51
산속	0.53
산업	0.6
산책	0.61
살림	1
살인	0.5
삼계탕	1
삼국	0.52
삼월	0.7
삼촌	1
상관	0.34
상금	0.41
상담	0.5
상당	0.51
상당수	0.56
상대	0.4
상대방	0.47
상대성	0.53
상대적	0.39
상대편	0.46
상류	1
상반기	0.52
상상	0.36
상상력	1
상식	0.6
상업	0.47
상인	0.58
상자	0.45
상점	0.41
상징적	0.48
상처	0.42
상추	0.28
상태	0.56
상표	0.57
상품	0.48
상황	1
새끼	0
새벽	0
새소리	0.38
새우	0.4
새해	0.45
색깔	1
색연필	0.48
샌드위치	0.41
생각	0.59
생기	0.44
생명	0.33
생물	0.52
생방송	0.42
생산	0.48
생산력	1
생산자	0.53
생선	0.54
생신	0.45
생일	0.44
생활	0.32
생활비	0.38
생활수준	0.6
생활용품	0.48
생활환경	0.37
샤워	1
서구	0.4
서랍	1
서로	0.4
서류	1
서명	0.36
서민	0.49
서부	0.44
서비스	0.5
서양	0.52
서양인	0.48
서울	0.53
서울역	0.43
서적	0.42
서점	0.41
서쪽	0
서클	0.16
석사	0.45
석유	0.47
선거	0.56
선물	0.55
선배	0.5
선생	0.51
선생님	1
선수	0.45
선원	0.36
선장	0.5
선전	0.51
선진	0.4
선진국	0.44
선택	0.44
선풍기	0.53
설거지	0.45
설날	0.52
설렁탕	1
설명	0.42
설문	0.64
설악산	0.47
설치	0.39
설탕	1
섭씨	0.39
성격	1
성경	0.39
성공	0.52
성공적	0.46
성당	0.55
성명	0.39
성별	0.55
성인	0.41
성장	0.53
성적	0.38
성질	0.45
성함	1
세계	0.54
세계관	0.48
세계적	0.46
세금	0.44
세기	0.54
세대	0.54
세로	0.27
세미나	0.53
세상	0.47
세수	0.42
세월	0.71
세제	0.54
세종대왕	0.5
세탁	0.57
세탁기	0.5
세탁소	0.51
세트	0
센터	0.27
소개	0.5
소규모	0.39
소극적	0.44
소금	0.42
소나기	0.43
소나무	0.46
소녀	1
소년	1
소득	1
소리	0.43
소망	0.57
소매	0.39
소문	0.52
소비	0.46
소비자	0.46
소설	0.34
소설가	0.45
소속	0.53
소수	0.54
소스	0.48
소시지	0.54
소식	0.52
소아과	0.47
소용	0.58
소원	0.51
소유	0.53
소유자	0.5
소음	0.35
소재	0.48
소주	0.5
소지품	0.51
소질	0.47
소파	0.63
소포	0.6
소풍	0.47
소프트웨어	0.33
소형	0.49
소화	0.47
속담	0.39
속도	0.46
속마음	0.4
속옷	0.38
손가락	1
손길	0.45
손녀	1
손님	1
손등	0.51
손목	0.56
손바닥	1
손발	0.41
손뼉	1
손수건	0.49
손실	0.46
손자	0.48
손잡이	0.54
손질	0.49
손톱	1
손해	0.48
솜씨	0.28
송아지	0.59
송이	0.47
송편	0.47
쇠고기	0.47
쇼핑	0.54
수건	0.48
수고	0.39
수년	1
수단	0.53
수도	0.45
수도권	0.47
수도꼭지	0.51
수돗물	0.44
수동적	0.36
수면	0.58
수명	0.34
수박	0.51
수상	0.55
수석	0.55
수술	0.48
수업	0.5
수염	0
수영	0.43
수영장	0.44
수요	0.52
수요일	0.49
수입	0.43
수입품	0.55
수저	0.33
수준	0.52
수집	0.57
수출	0.5
수컷	1
수표	0.51
수필	0.51
수학	0.52
수험생	0.44
수화기	0.49
숙녀	1
숙소	0.58
숙제	0.58
순간	0.47
순간적	0.42
순서	0.53
순수	0.56
순식간	0.51
순위	0.57
숟가락	1
술병	0.59
술자리	0.38
술잔	0.6
술집	0.58
숫자	0.57
슈퍼마켓	1
스님	1
스스로	0.18
스승	0.53
스웨터	0.43
스위치	0.39
스케이트	0
스케줄	0.49
스키	0.51
스키장	0.49
스타	0.25
스타일	0.5
스튜디오	0.46
스트레스	0.47
스포츠	1
슬픔	1
습관	0.45
습기	0.42
승객	0.52
승리	0.31
승부	0.56
승용차	0.37
승진	0.37
시각	0.57
시간	0.43
시계	0.54
시골	0.44
시금치	0.35
시기	0.53
시나리오	0.51
시내	0.49
시내버스	0.53
시대	0.42
시대적	0.49
시댁	0
시도	0.51
시디	0.57
시디롬	1
시리즈	1
시멘트	0
시민	0.48
시부모	0.47
시선	0.48
시설	0.46
시스템	1
시아버지	0.66
시야	0.58
시어머니	1
시외	0.45
시외버스	0.48
시월	0.78
시위	0.67
시인	0.5
시일	0.49
시작	0.4
시장	0.48
시절	0.63
시점	0.39
시중	0.48
시즌	1
시집	0.5
시청	0.33
시청률	1
시청자	0.5
시합	0.3
시험	1
식구	0.49
식기	0.4
식당	0.49
식량	1
식료품	0.51
식물	0.41
식빵	0
식사	0.4
식생활	0.53
식욕	0.52
식용유	0.48
식초	0.44
식탁	0.7
식품	0.49
식품점	0.56
신경	0.37
신고	0.4
신규	0.38
신념	1
신라	0.53
신랑	1
신문	0.58
신문사	0.48
신문지	0.56
신발	0.44
신부	0.44
신분	0.42
신비	0.46
신사	0.4
신설	0.38
신세	0.6
신세대	0.37
신용	0.5
신인	0.37
신입생	0.49
신제품	0.5
신청	0.23
신청서	0.51
신체	0.46
