사용단어	단어승률
실습	1
실시	0.811
실장	0.784
실정	0.982
실제	0.98
실질적	0.757
실천	0.977
실체	0.731
실태	1
실패	0
실험	1
실현	0.995
심리	0.497
심리적	0.776
심부름	1
심사	0.785
심장	0.783
심정	0.986
심판	1
십이월	0.513
십일월	0.528
싸구려	1
싸움	0.925
싼값	1
쌍둥이	0.874
쓰레기	0.837
쓰레기통	0.96
쓴맛	1
씨름	1
씨앗	1
아가씨	0
아기	0.846
아까	0.955
아나운서	0.797
아내	0.752
아드님	1
아들	1
아래	1
아래쪽	1
아래층	1
아랫사람	1
아르바이트	0
아무것	1
아버님	1
아버지	0.891
아빠	1
아쉬움	0.916
아스팔트	0
아시아	0.552
아이	0.869
아이디어	0.59
아이스크림	1
아저씨	0
아주머니	1
아줌마	0.648
아침	0.663
아파트	0
아프리카	0.711
아픔	1
악기	0.841
악몽	1
악수	0.902
안개	0.995
안경	0.735
안과	0.998
안내	0.755
안동	0.887
안방	0.903
안부	0.879
안전	0.935
안정	0.98
안주	0.922
안쪽	1
안팎	1
알루미늄	1
알코올	0.261
암시	0.821
암컷	1
압력	1
앞길	1
앞날	1
앞뒤	0.406
앞문	0.917
앞바다	0.862
앞쪽	1
애인	0.832
애정	0.984
애초	0.836
액세서리	0.478
액수	0.917
앨범	0.936
야간	0.816
야구	0.832
야구장	0.775
야단	0.882
야외	0.812
야채	0.647
약간	0.785
약국	0.94
약속	0.943
약수	0.903
약점	0.811
약품	1
약혼녀	1
약혼자	0.825
양국	0.944
양념	1
양력	1
양말	0.593
양배추	0.677
양보	0.857
양복	0.965
양상추	0.664
양식	0.754
양심	0.825
양옆	0.956
양주	0.927
양쪽	1
양파	1
얘기	0.871
어깨	1
어둠	1
어려움	0.926
어른	1
어린아이	0.849
어린애	0.982
어린이	0.836
어린이날	1
어머니	1
어머님	1
어저께	1
어제	0.976
어젯밤	0.561
언니	1
언덕	0.872
언론	1
언어	0.6
얼굴	1
얼마	0.666
얼마간	0.777
얼음	0.822
엄마	0.662
업무	0.716
업종	0.816
업체	0.732
엉덩이	0.871
엉망	1
엉터리	0.498
에너지	0.891
에어컨	0
엔진	0.737
엘리베이터	0
여가	0.764
여건	0.952
여고생	0.893
여관	0.682
여군	1
여권	0.941
여기저기	0.852
여대생	0.886
여동생	0.889
여럿	1
여론	1
여름	1
여름철	1
여성	0.827
여왕	1
여우	0.896
여유	0.923
여인	0.83
여자	0.84
여직원	0.883
여학생	0.9
여행	0.99
여행사	0.76
역사	0.765
역사가	0.776
역사상	0.849
역사적	0.766
역사학	0.773
역할	0.672
연간	0.784
연결	0.851
연관	0.692
연구	0.85
연구소	0.894
연구실	0.792
연구원	0.861
연구자	0.828
연극	1
연기	0.834
연기자	0.814
연두색	0.503
연락	1
연락처	0.814
연령	1
연말	0.6
연설	0.775
연세	0.974
연속	0.956
연습	1
연애	0.98
연예인	0.829
연인	0.831
연장	0.814
연주	0.912
연출	0.989
연필	0.876
연합	0.487
연휴	0.995
열기	0.845
열매	0.629
열쇠	1
열정	0.991
열차	0.637
열흘	1
염려	1
엽서	0.809
영국	0.947
영남	0.854
영상	0.841
영양	0.781
영어	0.6
영업	1
영역	1
영웅	1
영하	0.663
영향	1
영향력	1
영혼	1
영화	0.96
영화관	0.708
영화배우	0.862
영화제	0.984
옆구리	0.492
옆방	0.893
옆집	1
예감	0.983
예금	0.878
예방	0.885
예보	0.858
예비	0.859
예산	0.908
예상	0.814
예선	0.915
예술	0.913
예술가	0.763
예술적	0.761
예습	1
예식장	0.789
예약	0.809
예외	0.802
예의	0.934
예전	0.946
예절	0.959
예정	0.985
옛날	1
옛날이야기	0.858
오늘	1
오늘날	1
오락	1
오래간만	0.872
오래전	0.926
오랜만	0.904
오랫동안	0.818
오렌지	0.888
오른발	0.727
오른손	0.624
오른쪽	1
오리	0.485
오븐	1
오빠	1
오염	0
오월	0.491
오이	0.854
오전	0.907
오징어	0.602
오페라	0.792
오피스텔	1
오해	0.972
오후	0.826
옥상	0.837
옥수수	0.909
온도	0.83
온돌	1
온라인	0.828
온몸	0.836
온종일	0.919
올가을	1
올림픽	1
올여름	1
올해	0.96
옷차림	1
와이셔츠	1
와인	0.837
완성	0.818
완전	0.917
왕비	0.846
왕자	0.821
외갓집	1
외과	0.993
외교	0.951
외교관	0.692
외국	0.947
외국어	0.605
외국인	0.828
외로움	0.905
외모	0.825
외부	0.868
외삼촌	1
외아들	1
외제	0.979
외출	0.99
외침	0.673
외할머니	1
외할아버지	0.902
왼발	0.723
왼손	0.587
왼쪽	1
요구	0.809
요금	0.866
요리	0.494
요리사	0.778
요새	0.603
요일	0.937
요즈음	0.826
요즘	1
요청	0.505
욕실	0.786
욕심	0.842
용기	0.86
용도	0.825
용돈	1
용서	0.779
용어	0.582
우려	1
우리나라	0.755
우리말	0.614
우산	0.901
우승	0.951
우유	0.924
우정	0.989
우주	0.91
우체국	0.951
우편	0.988
우표	0.947
운동	0.881
운동복	0.963
운동장	0.783
운동화	0.974
운명	0.747
운반	0.88
운전	0.925
운전기사	0.788
운전사	0.763
운전자	0.787
운행	0.996
울산	0.917
울음	0.81
울음소리	0.484
움직임	1
웃어른	1
웃음	0.822
웃음소리	0.518
원고	0.784
원래	1
원서	0.782
원숭이	0.853
원인	0.849
원장	0.758
원피스	0.853
월급	1
월드컵	1
월세	0.971
